,Epoch:,Cost:,Accuracy:
0,0,0.826179265659,14
1,1,0.809537796976,14
2,2,0.795464362851,14
3,3,0.443725701944,138
4,4,0.415345572354,138
5,5,0.40817062635,143
6,6,0.388300215983,139
7,7,0.39175161987,138
8,8,0.390146868251,133
9,9,0.370336933045,142
10,10,0.363272138229,139
11,11,0.35461987041,143
12,12,0.34838012959,142
13,13,0.34686825054,141
14,14,0.339436285097,143
15,15,0.334987041037,138
16,16,0.331025917927,141
17,17,0.326159827214,142
18,18,0.336747300216,134
19,19,0.325416846652,140
20,20,0.333267818575,137
21,21,0.321127429806,141
22,22,0.312762419006,142
23,23,0.317360691145,142
24,24,0.310492440605,139
25,25,0.306300215983,146
26,26,0.310660907127,142
27,27,0.30486825054,140
28,28,0.305494600432,139
29,29,0.302017278618,141
