,Epoch:,Cost:,Accuracy:
0,0,0.475177105832,127
1,1,0.45088336933,127
2,2,0.434213822894,127
3,3,0.422159827214,128
4,4,0.415164146868,129
5,5,0.408276457883,128
6,6,0.403427645788,130
7,7,0.398017278618,132
8,8,0.395025917927,131
9,9,0.391250539957,128
10,10,0.387319654428,130
11,11,0.385237580994,130
12,12,0.381518358531,130
13,13,0.379386609071,130
14,14,0.377311015119,133
15,15,0.375485961123,131
16,16,0.372740820734,134
17,17,0.372051835853,132
18,18,0.368397408207,133
19,19,0.366760259179,133
20,20,0.365213822894,134
21,21,0.363632829374,133
22,22,0.363507559395,135
23,23,0.36181425486,133
24,24,0.360671706263,133
25,25,0.359311015119,135
26,26,0.358799136069,136
27,27,0.357412526998,134
28,28,0.35492224622,134
29,29,0.354028077754,135
