,Epoch:,Cost:,Accuracy:
0,0,1.44461987041,0
1,1,0.873330453564,14
2,2,0.528732181425,112
3,3,0.488043196544,121
4,4,0.47373650108,123
5,5,0.466207343413,123
6,6,0.461187904968,125
7,7,0.458339092873,127
8,8,0.455382289417,127
9,9,0.453732181425,128
10,10,0.452287257019,129
11,11,0.451058315335,129
12,12,0.449431965443,129
13,13,0.447637149028,130
14,14,0.446347732181,130
15,15,0.4446825054,130
16,16,0.444127429806,130
17,17,0.44292224622,130
18,18,0.442447084233,130
19,19,0.441300215983,130
20,20,0.44048812095,130
21,21,0.439373650108,130
22,22,0.438194384449,131
23,23,0.437611231102,131
24,24,0.436911447084,130
25,25,0.4363412527,130
26,26,0.435369330454,131
27,27,0.43461987041,131
28,28,0.434166306695,130
29,29,0.433436285097,130
