,Epoch:,Cost:,Accuracy:
0,0,1.34884233261,0
1,1,1.18275593952,1
2,2,1.04349892009,1
3,3,0.924980561555,6
4,4,0.828520518359,16
5,5,0.75564362851,25
6,6,0.699563714903,34
7,7,0.65517062635,45
8,8,0.619174946004,61
9,9,0.592289416847,67
10,10,0.570611231102,74
11,11,0.553075593952,83
12,12,0.539261339093,90
13,13,0.527386609071,89
14,14,0.518928725702,94
15,15,0.510745140389,98
16,16,0.504630669546,103
17,17,0.499596112311,106
18,18,0.495261339093,107
19,19,0.491118790497,108
20,20,0.487060475162,110
