,Epoch:,Cost:,Accuracy:
0,0,3.01807125265,118
1,1,2.75764364246,133
2,2,2.72441464287,135
3,3,2.39403509803,135
4,4,2.37768198229,137
5,5,2.24313667221,133
6,6,2.37805154504,121
7,7,2.28131420173,142
8,8,2.15042419255,142
9,9,2.13478344781,144
10,10,2.02407713817,140
11,11,2.00581354189,143
12,12,1.94622473292,143
13,13,2.01627147054,139
14,14,1.92347820296,149
15,15,1.85688238995,147
16,16,1.82804594243,140
17,17,1.89112326248,146
18,18,1.86403361654,146
19,19,1.84571850101,146
20,20,1.83523620048,143
21,21,1.83466132289,146
22,22,1.7669005676,150
23,23,1.80864251981,146
24,24,1.82309852873,143
25,25,1.73256286429,151
26,26,1.80061661957,145
27,27,1.7373743318,150
28,28,1.72221153375,153
29,29,1.75714758924,147
30,30,1.76288866101,151
31,31,1.65440841599,149
32,32,1.68968754286,150
33,33,1.79014133293,142
34,34,1.65950067092,145
35,35,1.69525281933,148
36,36,1.6690756734,154
37,37,1.70203509282,152
38,38,1.70421319735,152
39,39,1.63711298495,148
40,40,2.05345166647,136
41,41,1.63774160887,155
42,42,1.62194729561,153
43,43,1.62458805767,153
44,44,1.7248781783,151
45,45,1.60775328335,152
46,46,1.64301088735,150
47,47,1.68792037805,152
48,48,1.58020272641,154
49,49,1.63652094736,152
50,50,1.61817880361,153
51,51,1.58676463681,155
52,52,1.58022779293,153
53,53,1.53294061481,145
54,54,1.52663747663,152
55,55,1.58860936363,150
56,56,1.58773396415,149
57,57,1.51728679735,155
58,58,1.5655101257,146
59,59,1.49728120152,149
60,60,1.57021353511,150
61,61,1.51498755535,151
62,62,1.53414658116,153
63,63,1.565350568,148
64,64,1.62195816179,150
65,65,1.85740133161,141
66,66,1.50877440583,148
67,67,1.49724931453,155
68,68,1.49023681968,153
69,69,1.48625903143,152
70,70,1.49441531615,151
71,71,1.57589708777,150
72,72,1.6972457013,144
73,73,1.68661758721,145
74,74,1.54556283572,153
75,75,1.55074426025,149
76,76,1.49548412821,149
77,77,1.46081328616,150
78,78,1.84045779775,144
79,79,1.45203511933,158
80,80,1.42550315972,158
81,81,1.4529787281,153
82,82,1.54349637577,150
83,83,1.50873467705,149
84,84,1.48933229238,151
85,85,1.4290038964,151
86,86,1.42331341349,151
87,87,1.51676068307,142
88,88,1.47551616299,150
89,89,1.49600072909,150
90,90,1.43953722711,151
91,91,1.43409691049,149
92,92,1.41829190813,152
93,93,1.41554986009,146
94,94,1.41455797312,152
95,95,1.41527547244,148
96,96,1.40839049687,157
97,97,1.38013806509,153
98,98,1.39103774727,150
99,99,1.38118840419,150
