,Epoch:,Cost:,Accuracy:
0,0,3.48628948913,130
1,1,3.15959656991,134
2,2,3.01118836682,136
3,3,2.93071554204,136
4,4,2.89630970475,135
5,5,2.8255340667,137
6,6,2.81381016223,136
7,7,2.79910215462,139
8,8,2.66744715203,139
9,9,2.62356078669,133
10,10,2.6343027604,136
11,11,2.59449199684,137
12,12,2.55203622008,138
13,13,2.54379598732,137
14,14,2.47039578949,141
15,15,2.46938049569,143
16,16,2.39446980492,141
17,17,2.4050734958,139
18,18,2.41695634636,141
19,19,2.36626038726,143
20,20,2.29609219187,139
21,21,2.30606259296,141
22,22,2.26134193916,143
23,23,2.26082003746,141
24,24,2.25507737688,141
25,25,2.20993532503,142
26,26,2.19045241039,142
27,27,2.20868337635,144
28,28,2.16357365673,143
29,29,2.18003657365,142
30,30,2.14980354057,144
31,31,2.13400780253,142
32,32,2.10611362623,141
33,33,2.08341166037,143
34,34,2.07592161312,144
35,35,2.06866401461,142
36,36,2.09508746416,144
37,37,2.06478717008,142
38,38,2.05866283209,145
39,39,2.05495171154,142
40,40,2.05620282898,141
41,41,2.02978222541,145
42,42,2.02271298548,145
43,43,2.01903782869,147
44,44,2.00417441381,144
45,45,2.02506331386,144
46,46,1.98685260512,147
47,47,1.98345996815,145
48,48,1.98484301881,145
49,49,1.98096150171,143
