,Epoch:,Cost:,Accuracy:
0,0,0.100194384449,143
1,1,0.091686825054,144
2,2,0.0906004319654,145
3,3,0.0912138228942,143
4,4,0.0902289416847,141
5,5,0.0921144708423,140
6,6,0.0914600431965,140
7,7,0.0937019438445,148
8,8,0.0900928725702,147
9,9,0.102589632829,146
10,10,0.0969632829374,140
11,11,0.091030237581,146
12,12,0.0926479481641,143
13,13,0.0917321814255,147
14,14,0.0902894168467,146
15,15,0.0902267818575,144
16,16,0.0908056155508,143
17,17,0.0912894168467,147
18,18,0.0899589632829,141
19,19,0.0924492440605,139
20,20,0.0907127429806,143
21,21,0.090788336933,145
22,22,0.0947386609071,144
23,23,0.0918704103672,146
24,24,0.0922332613391,144
25,25,0.0912289416847,139
26,26,0.0912721382289,144
27,27,0.0897688984881,143
28,28,0.0898164146868,142
29,29,0.0923455723542,144
30,30,0.0918034557235,145
31,31,0.0964686825054,134
32,32,0.0933866090713,142
33,33,0.103114470842,146
34,34,0.0978120950324,141
35,35,0.0910669546436,142
36,36,0.0930043196544,142
37,37,0.0894211663067,143
38,38,0.0926285097192,140
39,39,0.101812095032,148
40,40,0.0932159827214,149
41,41,0.091475161987,142
42,42,0.0889222462203,146
43,43,0.0948444924406,141
44,44,0.0916155507559,141
45,45,0.0908639308855,140
46,46,0.0942354211663,143
47,47,0.101028077754,137
48,48,0.0939136069114,142
49,49,0.0969265658747,144
50,50,0.0895809935205,142
51,51,0.0919308855292,144
52,52,0.0971036717063,146
53,53,0.0891857451404,146
54,54,0.0903822894168,142
55,55,0.0897084233261,143
56,56,0.0916328293737,141
57,57,0.0919179265659,143
58,58,0.090192224622,145
59,59,0.0914535637149,144
60,60,0.089879049676,141
61,61,0.090939524838,148
62,62,0.0894254859611,145
63,63,0.0902721382289,141
64,64,0.100203023758,141
65,65,0.0894384449244,142
66,66,0.0887904967603,148
67,67,0.0894686825054,142
68,68,0.0921187904968,145
69,69,0.089192224622,145
70,70,0.090313174946,147
71,71,0.0904492440605,145
72,72,0.0887559395248,141
73,73,0.0942095032397,146
74,74,0.0898639308855,143
75,75,0.0884838012959,142
76,76,0.0911166306695,144
77,77,0.0891382289417,144
78,78,0.091373650108,144
79,79,0.091090712743,142
80,80,0.096161987041,137
81,81,0.090596112311,142
82,82,0.0893801295896,146
83,83,0.0886609071274,145
84,84,0.0929848812095,141
85,85,0.0906781857451,147
86,86,0.0914017278618,143
87,87,0.103451403888,142
88,88,0.0908617710583,142
89,89,0.0925831533477,142
90,90,0.0900475161987,143
91,91,0.0925507559395,141
92,92,0.0911295896328,144
93,93,0.0899049676026,146
94,94,0.0882159827214,141
95,95,0.0898812095032,141
96,96,0.089151187905,148
97,97,0.0937213822894,146
98,98,0.0894060475162,144
99,99,0.0884362850972,146
100,100,0.0965572354212,141
101,101,0.089788336933,142
102,102,0.0888531317495,145
103,103,0.0880345572354,144
104,104,0.0946760259179,144
105,105,0.0890820734341,141
106,106,0.0887732181425,143
107,107,0.0892354211663,143
108,108,0.0883822894168,142
109,109,0.0905075593952,146
110,110,0.0917796976242,143
111,111,0.113125269978,140
112,112,0.0899654427646,141
113,113,0.0904060475162,146
114,114,0.0890820734341,144
115,115,0.0890367170626,145
116,116,0.095898488121,147
117,117,0.0891490280778,140
118,118,0.0930345572354,147
119,119,0.0887062634989,144
120,120,0.0896501079914,144
121,121,0.090555075594,142
122,122,0.0914298056156,138
123,123,0.0886997840173,144
124,124,0.0890691144708,142
125,125,0.0887710583153,145
126,126,0.0899330453564,146
127,127,0.0889416846652,141
128,128,0.0922764578834,140
129,129,0.0925226781857,142
130,130,0.0891598272138,144
131,131,0.0903369330454,146
132,132,0.0887753779698,143
133,133,0.0892073434125,140
134,134,0.089252699784,143
135,135,0.0900086393089,140
136,136,0.0883455723542,143
137,137,0.0916371490281,141
138,138,0.0911900647948,146
139,139,0.0894600431965,142
140,140,0.0883909287257,141
141,141,0.0902678185745,145
142,142,0.0910971922246,140
143,143,0.0901965442765,144
144,144,0.0924319654428,142
145,145,0.0910280777538,141
146,146,0.0878725701944,141
147,147,0.0918034557235,143
148,148,0.0885572354212,143
149,149,0.09013174946,145
150,150,0.0901123110151,143
151,151,0.0902332613391,143
152,152,0.0902721382289,140
153,153,0.0876846652268,142
154,154,0.087969762419,144
