cost,Accuracy,epoch
0.417,0.513618677,0
0.391,0.53,1
0.384,0.5447470817,2
0.377,0.5408560311,3
0.366,0.5642023346,4
0.360,0.5408560311,5
0.358,0.5719844358,6
0.350,0.5525291829,7
0.363,0.5252918288,8
0.347,0.5642023346,9
0.340,0.560311284,10
0.342,0.5564202335,11
0.336,0.5642023346,12
0.332,0.5680933852,13
0.330,0.560311284,14
0.325,0.5758754864,15
0.323,0.5719844358,16
0.321,0.5914396887,17
0.319,0.5564202335,18
0.317,0.5680933852,19
0.320,0.5758754864,20
0.315,0.5719844358,21
0.307,0.5719844358,22
0.303,0.5914396887,23
0.302,0.5836575875,24
0.301,0.5953307393,25
0.298,0.5875486381,26
0.301,0.5719844358,27
0.293,0.5875486381,28
0.298,0.579766537,29
