,formulaA,formulaB,formulaA_elements_AtomicVolume,formulaB_elements_AtomicVolume,formulaA_elements_AtomicWeight,formulaB_elements_AtomicWeight,formulaA_elements_BoilingT,formulaB_elements_BoilingT,formulaA_elements_BulkModulus,formulaB_elements_BulkModulus,formulaA_elements_Column,formulaB_elements_Column,formulaA_elements_CovalentRadius,formulaB_elements_CovalentRadius,formulaA_elements_Density,formulaB_elements_Density,formulaA_elements_ElectronSurfaceDensityWS,formulaB_elements_ElectronSurfaceDensityWS,formulaA_elements_Electronegativity,formulaB_elements_Electronegativity,formulaA_elements_FirstIonizationEnergy,formulaB_elements_FirstIonizationEnergy,formulaA_elements_GSbandgap,formulaB_elements_GSbandgap,formulaA_elements_GSenergy_pa,formulaB_elements_GSenergy_pa,formulaA_elements_GSestBCClatcnt,formulaB_elements_GSestBCClatcnt,formulaA_elements_GSestFCClatcnt,formulaB_elements_GSestFCClatcnt,formulaA_elements_GSmagmom,formulaB_elements_GSmagmom,formulaA_elements_GSvolume_pa,formulaB_elements_GSvolume_pa,formulaA_elements_HHIp,formulaB_elements_HHIp,formulaA_elements_HHIr,formulaB_elements_HHIr,formulaA_elements_HeatCapacityMass,formulaB_elements_HeatCapacityMass,formulaA_elements_HeatCapacityMolar,formulaB_elements_HeatCapacityMolar,formulaA_elements_HeatFusion,formulaB_elements_HeatFusion,formulaA_elements_ICSDVolume,formulaB_elements_ICSDVolume,formulaA_elements_IsAlkali,formulaB_elements_IsAlkali,formulaA_elements_IsDBlock,formulaB_elements_IsDBlock,formulaA_elements_IsFBlock,formulaB_elements_IsFBlock,formulaA_elements_IsMetal,formulaB_elements_IsMetal,formulaA_elements_IsMetalloid,formulaB_elements_IsMetalloid,formulaA_elements_IsNonmetal,formulaB_elements_IsNonmetal,formulaA_elements_MeltingT,formulaB_elements_MeltingT,formulaA_elements_MendeleevNumber,formulaB_elements_MendeleevNumber,formulaA_elements_MiracleRadius,formulaB_elements_MiracleRadius,formulaA_elements_NUnfilled,formulaB_elements_NUnfilled,formulaA_elements_NValance,formulaB_elements_NValance,formulaA_elements_NdUnfilled,formulaB_elements_NdUnfilled,formulaA_elements_NdValence,formulaB_elements_NdValence,formulaA_elements_NfUnfilled,formulaB_elements_NfUnfilled,formulaA_elements_NfValence,formulaB_elements_NfValence,formulaA_elements_NpUnfilled,formulaB_elements_NpUnfilled,formulaA_elements_NpValence,formulaB_elements_NpValence,formulaA_elements_NsUnfilled,formulaB_elements_NsUnfilled,formulaA_elements_NsValence,formulaB_elements_NsValence,formulaA_elements_Number,formulaB_elements_Number,formulaA_elements_Polarizability,formulaB_elements_Polarizability,formulaA_elements_Row,formulaB_elements_Row,formulaA_elements_ShearModulus,formulaB_elements_ShearModulus,formulaA_elements_SpaceGroupNumber,formulaB_elements_SpaceGroupNumber,avg_coordination_A,avg_coordination_B,avg_nearest_neighbor_distance_A,avg_nearest_neighbor_distance_B,stabilityVec
0,Ne,He,0.271740144956,0.271775093496,0.0691225620668,0.0,0.00389603967993,0.0,0.0,0.0,1.0,1.0,0.138888888889,0.0,3.19391633971e-05,0.0,0.0,0.0,0.0,0.0,0.853922747269,1.0,0.723173831363,1.0,1.0,0.992882752228,0.177588167833,0.170876547669,0.177588167912,0.17087654763,0.0,0.0,0.0635641316686,0.0605221339387,0.0,0.326530612245,0.0,0.428571428571,0.200779727096,1.0,0.274620161184,0.274620161184,0.00139693356048,0.0,0.199267902082,0.153397391901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.00642427413026,0.0,0.970297029703,0.960396039604,0.0,0.0,0.0,0.0,0.25,0.0357142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0879120879121,0.0,0.0952069899387,0.0923057411523,0.166666666667,0.0,0.0,0.0,0.982378854626,0.982378854626,1.0,0.636363636364,0.41518669901,0.336699266128,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
1,Cs,He,1.0,0.271775093496,0.550804954373,0.0,0.160262782335,0.0,0.00421052631579,0.0,0.0,1.0,1.0,0.0,0.0831711529903,0.0,0.297297297297,0.0,0.263333333333,0.0,0.0,1.0,0.0,1.0,0.927321379896,0.992882752228,1.0,0.170876547669,1.0,0.17087654763,0.0,0.0,1.0,0.0605221339387,0.612244897959,0.326530612245,0.659340659341,0.428571428571,0.0471734892788,1.0,0.42555159202,0.274620161184,0.0178023850085,0.0,0.70784717456,0.153397391901,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0788883076118,0.0,0.039603960396,0.960396039604,1.0,0.0,0.0454545454545,0.0,0.0,0.0357142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.582417582418,0.0,1.0,0.0923057411523,0.833333333333,0.0,0.0,0.0,1.0,0.982378854626,0.636363636364,0.636363636364,1.0,0.336699266128,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
2,K,He,0.622287466682,0.271775093496,0.149964755245,0.0,0.175267223991,0.0,0.00815789473684,0.0,0.0,1.0,0.810185185185,0.0,0.0378852705853,0.0,0.351351351351,0.0,0.273333333333,0.0,0.0215893245999,1.0,0.0,1.0,0.908711382222,0.992882752228,0.77621144861,0.170876547669,0.776211448577,0.17087654763,0.0,0.0,0.612637154779,0.0605221339387,0.173469387755,0.326530612245,0.791208791209,0.428571428571,0.147563352827,1.0,0.391068833399,0.274620161184,0.0198892674617,0.0,0.800274536719,0.153397391901,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.088027726916,0.0,0.019801980198,0.960396039604,0.871212121212,0.0,0.0454545454545,0.0,0.0,0.0357142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.186813186813,0.0,0.751826682337,0.0923057411523,0.5,0.0,0.00585585585586,0.0,1.0,0.982378854626,0.636363636364,0.636363636364,0.806885375372,0.336699266128,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
3,Ba,He,0.523533327481,0.271775093496,0.569698334941,0.0,0.364698299894,0.0,0.0252631578947,0.0,0.0588235294118,1.0,0.865740740741,0.0,0.155371812035,0.0,0.437837837838,0.0,0.296666666667,0.0,0.0636799065522,1.0,0.0,1.0,0.845431453733,0.992882752228,0.714817269468,0.170876547669,0.714817269532,0.17087654763,0.0,0.0,0.526220204313,0.0605221339387,0.30612244898,0.326530612245,0.252747252747,0.428571428571,0.0397660818713,1.0,0.370854802484,0.274620161184,0.0606473594549,0.0,0.654426904598,0.153397391901,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.261574679571,0.0,0.0792079207921,0.960396039604,0.844696969697,0.0,0.0,0.0,0.0357142857143,0.0357142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.593406593407,0.0,0.697716008381,0.0923057411523,0.833333333333,0.0,0.0220720720721,0.0,1.0,0.982378854626,0.636363636364,0.636363636364,0.751893657721,0.336699266128,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
4,Sr,He,0.435967021568,0.271775093496,0.357299137497,0.0,0.281491850713,0.0,0.0,0.0,0.0588235294118,1.0,0.773148148148,0.0,0.116416214267,0.0,0.454054054054,0.0,0.316666666667,0.0,0.0870295777192,1.0,0.0,1.0,0.863872553787,0.992882752228,0.64812700698,0.170876547669,0.648127007019,0.17087654763,0.0,0.0,0.441225879682,0.0605221339387,0.428571428571,0.326530612245,0.32967032967,0.428571428571,0.059649122807,1.0,0.353943717796,0.274620161184,0.0632879045997,0.0,0.576641500801,0.153397391901,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.27465341355,0.0,0.0693069306931,0.960396039604,0.80303030303,0.0,0.0,0.0,0.0357142857143,0.0357142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.395604395604,0.0,0.480813448472,0.0923057411523,0.666666666667,0.0,0.0274774774775,0.0,0.982378854626,0.982378854626,1.0,0.636363636364,0.728582564502,0.336699266128,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
5,Br,He,0.319813164457,0.271775093496,0.324328485326,0.0,0.0559137108201,0.0,0.005,0.0,0.941176470588,1.0,0.425925925926,0.0,0.138107399388,0.0,0.0,0.0,0.986666666667,0.0,0.382724135068,1.0,0.0805061332744,1.0,0.871517502347,0.992882752228,0.423169149383,0.170876547669,0.423169149289,0.17087654763,0.0,0.0,0.216481271283,0.0605221339387,0.336734693878,0.326530612245,0.758241758242,0.428571428571,0.0923976608187,1.0,1.0,0.274620161184,0.0450170357751,0.0,0.680279112331,0.153397391901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.06952654983,0.0,0.930693069307,0.960396039604,0.0,0.0,0.0454545454545,0.0,0.571428571429,0.0357142857143,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.833333333333,0.0,0.0,0.0,1.0,1.0,0.362637362637,0.0,0.135915385013,0.0923057411523,0.5,0.0,0.0,0.0,0.273127753304,0.982378854626,0.0,0.636363636364,0.247357597452,0.336699266128,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
6,Na,He,0.291767180783,0.271775093496,0.0811326189874,0.0,0.196409846324,0.0,0.0165789473684,0.0,0.0,1.0,0.638888888889,0.0,0.0428432557557,0.0,0.443243243243,0.0,0.31,0.0,0.0601721353613,1.0,0.0,1.0,0.896246530416,0.992882752228,0.420489847425,0.170876547669,0.420489847236,0.17087654763,0.0,0.0,0.214332198229,0.0605221339387,0.112244897959,0.326530612245,0.0549450549451,0.428571428571,0.239376218324,1.0,0.37296868807,0.274620161184,0.0221465076661,0.0,0.389956531686,0.153397391901,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0970102014125,0.0,0.00990099009901,0.960396039604,0.681818181818,0.0,0.0454545454545,0.0,0.0,0.0357142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.0989010989011,0.0,0.458739972411,0.0923057411523,0.333333333333,0.0,0.0148648648649,0.0,1.0,0.982378854626,1.0,0.636363636364,0.591080192622,0.336699266128,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
7,La,He,0.274449523817,0.271775093496,0.576443174927,0.0,0.636483299886,0.0,0.0736842105263,0.0,0.117647058824,1.0,0.828703703704,0.0,0.272061534439,0.0,0.637837837838,0.0,0.366666666667,0.0,0.0813297153181,1.0,0.0,1.0,0.615288068935,0.992882752228,0.500736091389,0.170876547669,0.500736091384,0.17087654763,0.0,0.0,0.283836549376,0.0605221339387,0.969387755102,0.326530612245,0.340659340659,0.428571428571,0.0380116959064,1.0,0.358171488968,0.274620161184,0.0528109028961,0.0,0.363189201556,0.153397391901,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.312058592728,0.0,0.118811881188,0.960396039604,0.708333333333,0.0,0.409090909091,0.0,0.0714285714286,0.0357142857143,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.604395604396,0.0,0.565888304126,0.0923057411523,0.833333333333,0.0,0.0630630630631,0.0,0.845814977974,0.982378854626,1.0,0.636363636364,0.588710876801,0.336699266128,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
8,Pr,He,0.253647900512,0.271775093496,0.584998537857,0.0,0.606815426612,0.0,0.0763157894737,0.0,0.117647058824,1.0,0.810185185185,0.0,0.293929790459,0.0,0.648648648649,0.0,0.376666666667,0.0,0.076308810668,1.0,0.0,1.0,0.627064530509,0.992882752228,0.488717671548,0.170876547669,0.488717671486,0.17087654763,0.0,0.0,0.272735527809,0.0605221339387,0.969387755102,0.326530612245,0.340659340659,0.428571428571,0.0376218323587,1.0,0.35936054961,0.274620161184,0.0586882453152,0.0,0.329787234043,0.153397391901,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.314935914204,0.0,0.158415841584,0.960396039604,0.693181818182,0.0,0.5,0.0,0.142857142857,0.0357142857143,0.0,0.0,0.0,0.0,0.846153846154,0.0,0.214285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.626373626374,0.0,0.521434775946,0.0923057411523,0.833333333333,0.0,0.0675675675676,0.0,0.845814977974,0.982378854626,1.0,0.636363636364,0.584077377137,0.336699266128,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
9,Ce,He,0.249520436105,0.271775093496,0.581615798511,0.0,0.618750777929,0.0,0.0578947368421,0.0,0.117647058824,1.0,0.814814814815,0.0,0.296098908971,0.0,0.643243243243,0.0,0.373333333333,0.0,0.0794837234256,1.0,0.0,1.0,0.626854638196,0.992882752228,0.504055500066,0.170876547669,0.504055500099,0.17087654763,0.0,0.0,0.286946651532,0.0605221339387,0.969387755102,0.326530612245,0.340659340659,0.428571428571,0.0374269005848,1.0,0.355925485533,0.274620161184,0.0465076660988,0.0,0.329444063143,0.153397391901,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.280146481821,0.0,0.138613861386,0.960396039604,0.689393939394,0.0,1.0,0.0,0.107142857143,0.0357142857143,1.0,0.0,0.1,0.0,1.0,0.0,0.0714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.615384615385,0.0,0.542895099895,0.0923057411523,0.833333333333,0.0,0.0630630630631,0.0,0.845814977974,0.982378854626,1.0,0.636363636364,0.490725308088,0.336699266128,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
